{'histograms': False, 'lbptype': 'uniform', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'uniform', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.045

{'histograms': False, 'lbptype': 'uniform', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.0875

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.1375

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.05

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.035

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.0375

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.05

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.1975

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.18

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.055

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.0775

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.045

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.04

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.055

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.115

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.0275

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.0425

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.0325

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.0525

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.1325

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.145

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.02

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.05

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.0325

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.04

{'histograms': False, 'lbptype': 'rotation', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

